Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
Canon EOS 400D DIGITAL,153,202,,0,0
SONY DSC-HX9V,6,10,,0,0
LEICA D-LUX 4,6,5,,0,0
Canon EOS DIGITAL REBEL XTi,126,204,,0,0
Canon PowerShot G16,10,16,,0,0
LG Mobile VS986,1,0,,0,0
Canon HV20,2,0,,0,0
PENTAX PENTAX K200D,6,14,,0,0
PENTAX Corporation PENTAX K100D Super,6,8,,0,0
Panasonic DMC-FX12,2,2,,0,0
NIKON COOLPIX P80,6,7,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE M550 Digital Camera,2,1,,0,0
OnePlus ONEPLUS A5000,2,0,,0,0
SONY DSC-RX100,38,59,,0,0
OLYMPUS CORPORATION PEN-F,10,14,,0,0
OLYMPUS IMAGING CORP. E-PL6,3,3,,0,0
SONY DSLR-A500,7,6,,0,0
SAMSUNG SAMSUNG WB650 / VLUU WB650 / SAMSUNG WB660,2,1,,0,0
Canon EOS REBEL SL1,12,22,,0,0
Canon EOS Rebel SL3,1,1,,0,0
Canon EOS 90D,3,14,,0,0
COOLPAD Coolpad E501,1,0,,0,0
SAMSUNG GT-S6310N,1,0,,0,0
Samsung Techwin <KENOX S760  / Samsung S760>,2,4,,0,0
FUJIFILM X-E3,4,6,,0,0
Panasonic DMC-TZ70,6,7,,0,0
SONY SLT-A57,13,11,,0,0
LG Electronics LG-D802,1,2,,0,0
OLYMPUS IMAGING CORP. E-P5,7,10,,0,0
SAMSUNG NX1,2,4,,0,0
OLYMPUS IMAGING CORP. E-M10,40,37,,0,0
Canon EOS DIGITAL REBEL XSi,90,148,,0,0
Canon EOS REBEL T4i,22,49,,0,0
OLYMPUS IMAGING CORP. uTough-8010,1,0,,0,0
OLYMPUS IMAGING CORP.   uTough-8010     ,1,0,,0,0
Canon EOS REBEL T5i,26,52,,0,0
Canon PowerShot G7,9,24,,0,0
RICOH       GR DIGITAL 2   ,2,1,,0,0
PENTAX PENTAX K20D,18,13,,0,0
NIKON E4300,6,7,,0,0
NIKON CORPORATION 1 V1,8,7,,0,0
Canon PowerShot A75,9,9,,0,0
FUJIFILM FinePix S5700 S700,19,24,,0,0
LTD. PENTAX K-S2,6,7,,0,0
samsung SM-G928V,1,0,,0,0
NIKON E3100,5,8,,0,0
Canon PowerShot SD550,9,4,,0,0
NIKON CORPORATION D50,89,133,,0,0
SAMSUNG WB350F/WB351F/WB352F,2,1,,0,0
FUJIFILM X-T10,15,21,,0,0
SONY DSC-RX100M5,5,5,,0,0
Apple iPhone 7,28,45,,0,0
LG Electronics LG-H870DS,1,0,,0,0
samsung SM-G930T,2,0,,0,0
Canon PowerShot A590 IS,10,20,,0,0
Canon EOS REBEL T3,61,57,,0,0
Canon EOS Kiss X7,3,4,,0,0
Apple iPhone 4S,52,90,,0,0
Canon PowerShot G10,21,38,,0,0
Canon PowerShot G9,20,41,,0,0
NIKON COOLPIX L620,1,0,,0,0
Canon EOS M5,2,10,,0,0
PENTAX PENTAX K-50,14,15,,0,0
OLYMPUS IMAGING CORP. E-P1,7,11,,0,0
FUJIFILM GFX 50R,2,2,,0,0
SONY DSC-RX10M3,8,14,,0,0
Canon EOS 1000D,60,90,,0,0
SONY DSC-R1,6,13,,0,0
Canon PowerShot G1,1,3,,0,0
PENTAX PENTAX Optio RZ10,2,0,,0,0
Canon EOS 300D DIGITAL,17,37,,0,0
Panasonic DMC-FZ50,11,15,,0,0
Panasonic DMC-LF1,5,6,,0,0
SONY DSC-RX100M2,12,14,,0,0
LEICA CAMERA AG LEICA SL (Typ 601),3,6,,0,0
Canon EOS 1200D,23,48,,0,0
FUJIFILM FinePix HS10 HS11,9,12,,0,0
SONY DSLR-A700,15,25,,0,0
Motorola XT1032,3,1,,0,0
SONY DSC-HX5V,8,6,,0,0
Panasonic DMC-ZS5,3,1,,0,0
Canon EOS R5,13,9,,0,0
Canon PowerShot SX100 IS,16,17,,0,0
Canon PowerShot SX150 IS,8,11,,0,0
Panasonic DMC-TZ57,1,0,,0,0
SONY NEX-7,17,20,,0,0
Panasonic DMC-TZ40,6,11,,0,0
samsung SM-G920F,4,13,,0,0
Canon EOS 600D,158,203,,0,0
Panasonic DMC-TZ1,6,11,,0,0
PENTAX PENTAX K-30,11,24,,0,0
Canon EOS RP,6,2,,0,0
Canon EOS DIGITAL REBEL XS,51,84,,0,0
FUJIFILM FinePix T200,1,0,,0,0
FUJIFILM FinePix S8500,2,1,,0,0
Panasonic DMC-FZ5,11,8,,0,0
Canon PowerShot S400,4,10,,0,0
EASTMAN KODAK COMPANY KODAK DX7440 ZOOM DIGITAL CAMERA,3,4,,0,0
LTD. PENTAX K-70,8,6,,0,0
Canon PowerShot ELPH 300 HS,2,5,,0,0
Canon PowerShot G15,11,20,,0,0
Canon EOS 100D,36,49,,0,0
"OLYMPUS OPTICAL CO.,LTD C3040Z",2,1,,0,0
Panasonic DMC-LX5,16,17,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE Z710 ZOOM DIGITAL CAMERA,7,8,,0,0
SONY DSC-H300,5,3,,0,0
Canon EOS Rebel T6i,19,31,,0,0
Canon EOS-1Ds Mark III,13,21,,0,0
NIKON COOLPIX P7800,3,2,,0,0
Canon PowerShot SX1 IS,4,5,,0,0
Apple iPhone 5s,40,87,,0,0
Panasonic DMC-ZS50,3,4,,0,0
Canon Inc.,1,0,,0,0
Canon EOS 20D USB,1,0,,0,0
Canon EOS-1D Mark II N,4,7,,0,0
DJI FC6310,4,2,,0,0
Panasonic DMC-FX35,3,3,,0,0
Canon PowerShot S2 IS,25,37,,0,0
OLYMPUS IMAGING CORP.   E-M5MarkII      ,1,2,,0,0
NIKON COOLPIX L11,3,6,,0,0
OLYMPUS IMAGING CORP.   E-410           ,1,2,,0,0
HUAWEI VOG-L29,4,0,,0,0
OLYMPUS E-PL1,1,0,,0,0
Samsung Techwin <Samsung i85,1,0,,0,0
Samsung VLUU i85>,1,0,,0,0
FUJIFILM FinePix F100fd,3,0,,0,0
Panasonic DMC-GM5,4,3,,0,0
Panasonic DMC-GF1,9,18,,0,0
Panasonic DC-GX7MK3,1,0,,0,0
Panasonic DC-GF9,1,0,,0,0
Canon PowerShot SX30 IS,22,20,,0,0
Canon EOS 760D,11,19,,0,0
NIKON COOLPIX L1,2,4,,0,0
PENTAX Corporation PENTAX K10D,20,30,,0,0
Canon EOS DIGITAL REBEL XT,102,169,,0,0
Apple iPad Air,4,1,,0,0
Panasonic DMC-FZ72,10,22,,0,0
Panasonic DMC-TZ5,12,14,,0,0
LTD. RICOH GR III,2,6,,0,0
RICOH GR DIGITAL 2,2,1,,0,0
OLYMPUS IMAGING CORP. E-5,11,9,,0,0
OLYMPUS IMAGING CORP. E-30,3,6,,0,0
OLYMPUS CORPORATION E-M10MarkII,22,26,,0,0
motorola moto g stylus 5G,1,0,,0,0
Canon PowerShot A530,11,14,,0,0
SONY DSC-P73,3,8,,0,0
Canon PowerShot ELPH 150 IS,1,1,,0,0
Canon PowerShot A470,7,6,,0,0
Canon DIGITAL IXUS 960 IS,3,1,,0,0
FUJIFILM FinePix S5Pro,4,5,,0,0
Panasonic DMC-GX1,9,14,,0,0
SK communications Cymera,4,1,,0,0
Canon PowerShot A2000 IS,1,3,,0,0
SONY DSC-W830,6,5,,0,0
NIKON COOLPIX P510,18,36,,0,0
SAMSUNG TECHWIN Co. SAMSUNG GX10,4,1,,0,0
Canon EOS-1Ds Mark II,12,11,,0,0
Panasonic DMC-TZ20,8,5,,0,0
Panasonic DMC-FZ38,8,20,,0,0
Sony D6503,5,4,,0,0
Panasonic DMC-LZ1,2,2,,0,0
Xiaomi Mi 4i,1,0,,0,0
Nikon D800,1,0,,0,0
SONY DSC-F828,14,15,,0,0
Panasonic DMC-SZ7,1,0,,0,0
SAMSUNG GT-I9301I,3,2,,0,0
Panasonic DMC-FZ200,23,30,,0,0
PENTAX Corporation PENTAX *ist DL,3,4,,0,0
Panasonic DMC-TZ30,6,6,,0,0
Apple iPhone 13 Pro Max,3,7,,0,0
FUJIFILM X-T3,5,22,,0,0
Canon PowerShot S95,13,25,,0,0
Canon PowerShot A60,4,2,,0,0
SONY DSC-RX100M4,10,11,,0,0
Canon PowerShot S3 IS,40,69,,0,0
samsung SM-N920T,1,0,,0,0
NIKON CORPORATION D5500,35,61,,0,0
NIKON COOLPIX P90,7,8,,0,0
samsung SM-A300FU,1,0,,0,0
Apple iPhone XS,5,7,,0,0
HUAWEI BLL-L22,1,0,,0,0
SONY DSC-H5,18,14,,0,0
Canon EOS M50,4,7,,0,0
PENTAX Corporation PENTAX *ist DS,2,8,,0,0
SONY DSLR-A200,29,49,,0,0
samsung SM-A750F,1,0,,0,0
Panasonic DMC-GX8,10,11,,0,0
FUJIFILM FinePix S602 ZOOM,4,4,,0,0
SONY DSLR-A850,4,12,,0,0
SAMSUNG GT-I9300,13,14,,0,0
SONY SLT-A99V,18,16,,0,0
Apple iPhone SE (2nd generation),2,4,,0,0
NIKON CORPORATION D5600,8,26,,0,0
Canon PowerShot SD500,7,10,,0,0
Panasonic DMC-G2,9,8,,0,0
FUJIFILM FinePix S5000,8,11,,0,0
SONY ILCE-7,32,61,,0,0
Hewlett-Packard HP PhotoSmart C945 (V01.53),1,1,,0,0
Canon PowerShot SX20 IS,19,17,,0,0
Canon PowerShot SD1000,9,16,,0,0
Canon PowerShot SX40 HS,16,35,,0,0
Canon PowerShot SD890 IS,2,2,,0,0
Panasonic DC-TZ90,3,2,,0,0
NIKON COOLPIX S9900,3,4,,0,0
Canon EOS R6,5,9,,0,0
LTD. PENTAX KP,3,5,,0,0
Canon EOS R,10,14,,0,0
Canon DIGITAL IXUS 95 IS,1,1,,0,0
Panasonic DMC-FZ70,6,8,,0,0
Apple iPhone 12 mini,1,0,,0,0
Panasonic DMC-GM1,7,7,,0,0
Panasonic DMC-FZ18,16,23,,0,0
Panasonic DMC-FZ28,20,24,,0,0
DJI FC220,2,9,,0,0
Panasonic DMC-G80,6,8,,0,0
Panasonic DMC-FZ300,4,6,,0,0
SONY NEX-5T,12,11,,0,0
Canon EOS Kiss X6i,2,4,,0,0
Canon CanoScan 9000F,4,6,,0,0
Panasonic DMC-FZ150,10,15,,0,0
NIKON COOLPIX L310,6,5,,0,0
Canon PowerShot G9 X Mark II,3,2,,0,0
Hipstamatic 277,2,0,,0,0
Hipstamatic 272,3,0,,0,0
Canon PowerShot SX620 HS,4,5,,0,0
OLYMPUS IMAGING CORP. SP500UZ,4,9,,0,0
samsung SM-G981U,1,0,,0,0
FUJIFILM FinePix SL300,1,1,,0,0
SONY NEX-5N,16,30,,0,0
Canon EOS Rebel T6s,6,8,,0,0
Canon PowerShot SD1100 IS,15,19,,0,0
PENTAX PENTAX K-5 II s,13,16,,0,0
Canon IXUS 132,1,2,,0,0
Panasonic DMC-FZ30,7,7,,0,0
FUJIFILM X-S1,6,7,,0,0
FUJIFILM FinePix S100FS,4,4,,0,0
PENTAX Corporation PENTAX K100D,7,12,,0,0
Panasonic DMC-FZ35,11,16,,0,0
SONY DSC-W530,2,2,,0,0
SONY DSC-W220,5,4,,0,0
FUJIFILM FinePix X100,16,37,,0,0
Xiaomi M2101K6G,2,0,,0,0
Panasonic DMC-TZ60,15,18,,0,0
SONY DSC-H55,5,6,,0,0
SAMSUNG SM-A500FU,1,0,,0,0
SONY DSC-W40,1,2,,0,0
Canon PowerShot S500,2,8,,0,0
OLYMPUS CORPORATION E-M5MarkIII,1,4,,0,0
Panasonic DMC-ZS60,4,2,,0,0
Apple iPhone 6 Plus,22,27,,0,0
Panasonic DMC-FX07,2,9,,0,0
Leica Camera AG M9 Digital Camera,11,38,,0,0
"OLYMPUS CORPORATION u30D,S410D,u410D",5,4,,0,0
SONY DSC-H50,10,16,,0,0
NIKON COOLPIX P340,1,0,,0,0
Phase One P 40+,1,0,,0,0
Hasselblad Hasselblad H3DII-31,2,1,,0,0
Hasselblad Hasselblad H4D-200MS,1,0,,0,0
Sinar AG Sinarback 54 FW,3,0,,0,0
Sinar p3 / f3,1,0,,0,0
Xiaomi Redmi Pro,1,0,,0,0
SAMSUNG SCH-I545,4,4,,0,0
samsung SM-G930V,4,4,,0,0
NIKON COOLPIX S6150,1,0,,0,0
FUJIFILM FinePix Z10fd,3,1,,0,0
LEICA CAMERA AG LEICA Q (Typ 116),4,11,,0,0
Nokia Lumia 1020,10,10,,0,0
OLYMPUS IMAGING CORP. SP-820UZ,2,1,,0,0
NIKON COOLPIX L320,2,1,,0,0
FUJIFILM FinePix S2950,2,8,,0,0
FUJIFILM X-T20,12,23,,0,0
FUJITSU F-02E,1,0,,0,0
Canon PowerShot SX160 IS,5,6,,0,0
Canon CanoScan 9000F Mark II,5,3,,0,0
SONY DSC-S700,3,0,,0,0
PENTAX              PENTAX K200D       ,1,1,,0,0
NIKON CORPORATION D2X,11,14,,0,0
FUJIFILM X-E2,15,30,,0,0
Canon EOS 500D,68,120,,0,0
Minolta Co.,15,19,,0,0
Ltd. DiMAGE A1,3,6,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE V1273 DIGITAL CAMERA,1,0,,0,0
FUJIFILM FinePix E900,3,2,,0,0
Canon EOS Rebel T7i,3,10,,0,0
Canon EOS REBEL T5,13,46,,0,0
Panasonic DMC-ZS45,1,0,,0,0
Panasonic DMC-ZS10,2,4,,0,0
