Camera Name,Count (Professional),Count (Non-professional)
COOLPIX S8200,4,0
COOLPIX S220,4,0
DMC-FS3,3,0
HP ScanJet 4070,1,0
DSLR-A300,9,0
SM-G900V,2,0
Canon PowerShot S300,1,0
Canon EOS-1DS,2,0
Canon PowerShot G1 X,5,0
HP PhotoSmart C935 (V03.81),1,0
LM-X415K,1,0
PENTAX K-01,4,0
DMC-FX30,9,0
DSC-H1,6,0
E10,1,0
GR II,6,0
FinePix E900,2,0
SM-G920F,8,0
Desire HD,1,0
E-P1,5,0
iPhone 13 Pro,2,0
COOLPIX S3000,4,0
Canon PowerShot S70,4,0
P21+,1,0
SCH-I545,7,0
"u700,S700",2,0
iPad 2,2,0
"u1060,S1060            ",6,0
Pixel 6,1,0
66,1,0
COOLPIX L5,4,0
XT1575,1,0
X70,3,0
PENTAX Q7,1,0
GR Digital,2,0
DMC-FX100,3,0
Canon IXY DIGITAL 920 IS,1,0
VFD 730,1,0
SGH-I717,1,0
PENTAX 645D,4,0
CLT-L29,3,0
COOLPIX S9900,9,0
FinePix XP90 XP91 XP95,2,0
"X350,D575Z,C360Z",1,0
LG-D855,3,0
Canon PowerShot G9 X,2,0
SP800UZ,7,0
DMC-FZ330,5,0
DMC-FZ8,7,0
KODAK P850 ZOOM DIGITAL CAMERA,2,0
COOLPIX S8000,10,0
Canon EOS M6 Mark II,2,0
"u1060,S1060",1,0
DMC-TZ65,1,0
PENTAX Optio 33WR,2,0
SM-N920T,1,0
236,1,0
d-lab.2/3,1,0
Canon PowerShot G1 X Mark III,5,0
PENTAX K-x         ,6,0
V-LUX 1,5,0
NIKON Z 7_2,3,0
E-M5MarkIII,4,0
Canon EOS M50,7,0
4MP-9Q3,1,0
E-M1MarkIII,6,0
ILCE-5100,8,0
PENTAX X-5,1,0
EX-Z70,4,0
DC-GX7MK3,2,0
EX-H20G,1,0
KODAK V550 ZOOM DIGITAL CAMERA,1,0
C770UZ,2,0
PrimeFilm XAs,1,0
Hasselblad H4D-200MS,1,0
Canon EOS Kiss X4,4,0
DMC-ZS35,1,0
DMC-FX55,2,0
SM-G950U,3,0
L1D-20c,5,0
DiMAGE G600,2,0
COOLPIX S500,1,0
XT1080,1,0
Canon PowerShot SD1300 IS,6,0
FinePix4800 ZOOM,1,0
DMC-FH25,2,0
CanoScan LiDE 90,1,0
DSC-W120,5,0
GT-B7320L,1,0
Canon PowerShot SD300,1,0
